collertal,minute,fee_rate,fee
1e+19,10,0.005000001998,0.05000001998
1e+20,10,0.005000019979999999,0.5000019979999999
5e+20,10,0.0050000999,2.50004995
1e+21,10,0.0050001998,5.0001998
5e+21,10,0.005000999,25.004995
1e+22,10,0.005001998,50.01998
5e+22,10,0.00500999,250.49949999999995
1e+23,10,0.00501998,501.998
1e+19,30,0.005000001998,0.05000001998
1e+20,30,0.005000019979999999,0.5000019979999999
5e+20,30,0.0050000999,2.50004995
1e+21,30,0.0050001998,5.0001998
5e+21,30,0.005000999,25.004995
1e+22,30,0.005001998,50.01998
5e+22,30,0.00500999,250.49949999999995
1e+23,30,0.00501998,501.998
1e+19,60,0.005000001998,0.05000001998
1e+20,60,0.005000019979999999,0.5000019979999999
5e+20,60,0.0050000999,2.50004995
1e+21,60,0.0050001998,5.0001998
5e+21,60,0.005000999,25.004995
1e+22,60,0.005001998,50.01998
5e+22,60,0.00500999,250.49949999999995
1e+23,60,0.00501998,501.998
1e+19,90,0.005000001998,0.05000001998
1e+20,90,0.005000019979999999,0.5000019979999999
5e+20,90,0.0050000999,2.50004995
1e+21,90,0.0050001998,5.0001998
5e+21,90,0.005000999,25.004995
1e+22,90,0.005001998,50.01998
5e+22,90,0.00500999,250.49949999999995
1e+23,90,0.00501998,501.998
1e+19,120,0.005000001998,0.05000001998
1e+20,120,0.005000019979999999,0.5000019979999999
5e+20,120,0.0050000999,2.50004995
1e+21,120,0.0050001998,5.0001998
5e+21,120,0.005000999,25.004995
1e+22,120,0.005001998,50.01998
5e+22,120,0.00500999,250.49949999999995
1e+23,120,0.00501998,501.998
1e+19,180,0.005000001998,0.05000001998
1e+20,180,0.005000019979999999,0.5000019979999999
5e+20,180,0.0050000999,2.50004995
1e+21,180,0.0050001998,5.0001998
5e+21,180,0.005000999,25.004995
1e+22,180,0.005001998,50.01998
5e+22,180,0.00500999,250.49949999999995
1e+23,180,0.00501998,501.998
1e+19,240,0.005000001998,0.05000001998
1e+20,240,0.005000019979999999,0.5000019979999999
5e+20,240,0.0050000999,2.50004995
1e+21,240,0.0050001998,5.0001998
5e+21,240,0.005000999,25.004995
1e+22,240,0.005001998,50.01998
5e+22,240,0.00500999,250.49949999999995
1e+23,240,0.00501998,501.998
1e+19,300,0.005000001998,0.05000001998
1e+20,300,0.005000019979999999,0.5000019979999999
5e+20,300,0.0050000999,2.50004995
1e+21,300,0.0050001998,5.0001998
5e+21,300,0.005000999,25.004995
1e+22,300,0.005001998,50.01998
5e+22,300,0.00500999,250.49949999999995
1e+23,300,0.00501998,501.998
1e+19,360,0.005000001998,0.05000001998
1e+20,360,0.005000019979999999,0.5000019979999999
5e+20,360,0.0050000999,2.50004995
1e+21,360,0.0050001998,5.0001998
5e+21,360,0.005000999,25.004995
1e+22,360,0.005001998,50.01998
5e+22,360,0.00500999,250.49949999999995
1e+23,360,0.00501998,501.998
1e+19,720,0.005000001998,0.05000001998
1e+20,720,0.005000019979999999,0.5000019979999999
5e+20,720,0.0050000999,2.50004995
1e+21,720,0.0050001998,5.0001998
5e+21,720,0.005000999,25.004995
1e+22,720,0.005001998,50.01998
5e+22,720,0.00500999,250.49949999999995
1e+23,720,0.00501998,501.998
